iter	Passed	Remaining
1014	10438	1902
1015	10448	1892
1016	10458	1881
1017	10468	1871
1018	10480	1861
1019	10490	1851
1020	10502	1841
1021	10513	1831
1022	10524	1821
1023	10535	1810
1024	10546	1800
1025	10558	1790
1026	10568	1780
1027	10578	1769
1028	10586	1759
1029	10596	1748
1030	10605	1738
1031	10615	1728
1032	10625	1717
1033	10634	1707
1034	10645	1697
1035	10654	1686
1036	10665	1676
1037	10677	1666
1038	10687	1656
1039	10697	1645
1040	10708	1635
1041	10719	1625
1042	10730	1615
1043	10741	1605
1044	10753	1594
1045	10763	1584
1046	10773	1574
1047	10782	1563
1048	10793	1553
1049	10802	1543
1050	10813	1533
1051	10824	1522
1052	10834	1512
1053	10845	1502
1054	10856	1492
1055	10866	1481
1056	10877	1471
1057	10887	1461
1058	10898	1451
1059	10907	1440
1060	10918	1430
1061	10929	1420
1062	10939	1409
1063	10950	1399
1064	10961	1389
1065	10972	1379
1066	10983	1369
1067	10992	1358
1068	11002	1348
1069	11012	1337
1070	11021	1327
1071	11031	1317
1072	11043	1307
1073	11052	1296
1074	11064	1286
1075	11076	1276
1076	11084	1265
1077	11096	1255
1078	11106	1245
1079	11117	1235
1080	11127	1224
1081	11137	1214
1082	11149	1204
1083	11159	1194
1084	11169	1183
1085	11179	1173
1086	11190	1163
1087	11200	1153
1088	11210	1142
1089	11221	1132
1090	11232	1122
1091	11243	1111
1092	11254	1101
1093	11263	1091
1094	11275	1081
1095	11285	1070
1096	11296	1060
1097	11308	1050
1098	11319	1040
1099	11328	1029
1100	11340	1019
1101	11351	1009
1102	11361	999
1103	11371	988
1104	11382	978
1105	11393	968
1106	11404	958
1107	11415	947
1108	11425	937
1109	11435	927
1110	11447	917
1111	11457	906
1112	11468	896
1113	11478	886
1114	11490	875
1115	11501	865
1116	11510	855
1117	11520	844
1118	11531	834
1119	11540	824
1120	11550	814
1121	11559	803
1122	11569	793
1123	11580	783
1124	11591	772
1125	11601	762
1126	11612	752
1127	11622	741
1128	11632	731
1129	11642	721
1130	11651	710
1131	11661	700
1132	11673	690
1133	11683	680
1134	11693	669
1135	11703	659
1136	11713	649
1137	11724	638
1138	11735	628
1139	11744	618
1140	11754	607
1141	11765	597
1142	11775	587
1143	11786	576
1144	11797	566
1145	11808	556
1146	11819	546
1147	11828	535
1148	11837	525
1149	11848	515
1150	11857	504
1151	11868	494
1152	11878	484
1153	11889	473
1154	11900	463
1155	11912	453
1156	11923	443
1157	11934	432
1158	11944	422
1159	11955	412
1160	11966	401
1161	11977	391
1162	11987	381
1163	11999	371
1164	12010	360
1165	12020	350
1166	12030	340
1167	12039	329
1168	12049	319
1169	12059	309
1170	12070	298
1171	12080	288
1172	12090	278
1173	12102	268
1174	12111	257
1175	12122	247
1176	12133	237
1177	12143	226
1178	12153	216
1179	12162	206
1180	12172	195
1181	12182	185
1182	12191	175
1183	12203	164
1184	12212	154
1185	12223	144
1186	12234	133
1187	12243	123
1188	12253	113
1189	12263	103
1190	12272	92
1191	12279	82
1192	12289	72
1193	12298	61
1194	12307	51
1195	12319	41
1196	12329	30
1197	12338	20
1198	12348	10
1199	12358	0
